answer,question
"Tungsten e-Invoice Connect offers four membership levels: Free, Basic, Plus, and Premium. You can choose the subscription that best matches your invoicing needs.
 This article specifically applies to Tungsten e-Invoice Connect (formerly known as Invoice Portal). The information provided here does not apply to other Tungsten Automation products. For support or documentation related to other products, please refer to the appropriate resources
here
.
 Guide:

Step 1:
Open the Membership menu
You can upgrade your membership at any time, with changes taking effect instantly. Technical Support is available exclusively to users with Plus and Premium memberships.
Open our portal at
https://web.fakturaportalen.se/
Log in with your
Email
and
Password
.
Scroll down the page, and select the option ""
+ Upgrade
"".

Step 2:
Select your new Membership Level
You will now be able to change your membership level.
Review the features of each membership level and select the one that best suits your needs. Simply select the radio button ""
Choose
"".
If you have a registration code, enter it in the appropriate field.
Click ""
Add comment
"" and choose whether you need help connecting Tungsten e-Invoice Connect to your billing system, using virtual printer solutions, or anything else about your membership. You can just type a short message. If you have a question about our offers, you can also contact our Sales department at
info@invoiceportal.net.
Read and accept the Terms and Conditions.
Verify the information provided and click ""
Change
"".
 When
upgrading
: The change goes into effect immediately, and you have access to all the features included in that membership level. The first bill will include the current remaining days of the month and the next complete month. You will be contacted by our Accounts Receivable team during that timeframe.
 When
downgrading
: The change will be applied from the first day of the next calendar month. An exact confirmation of the day will be displayed by our portal.",Tungsten e-Invoice Connect (TeC) - How to change my membership level or upgrade it?
"Peppol is a standardized international network that enables businesses and governments to exchange electronic documents like invoices securely and interoperably.
 This article specifically applies to Tungsten e-Invoice Connect (formerly known as Invoice Portal). The information provided here does not apply to other Tungsten Automation products. For support or documentation related to other products, please refer to the appropriate resources
here
.
Table of contents:
Guide 1: With the TeC Portal Recipient Search
Guide 2: With Peppol Directory Website
Guide 3: How to Monitor Peppol Access Point
 Peppol operates through a network of multiple certified Access Points and decentralized directories (SMPs). In some cases, searches may return no results if a participant's metadata is temporarily unavailable (mostly due to their Access Point or SMP experiencing a downtime). In this guide, we will provide two methods to search for customers on the Peppol network, though many other tools are available online. We will also explain how to monitor the status of Access Points.
 Guide 1: With the TeC Portal Recipient Search

Step 1:
Log into the portal
In order to search for customers on Peppol, you need to open our portal and log in.
Access our portal via this link:
https://web.fakturaportalen.se/login
Add your
Email
and
Password
.
Press the button ""
Log in
"".

Step 2:
Search for your customer
We will use the functionality to create an invoice, as it gives access to the Peppol Directory.
From the top menu, select ""
Invoice
"" - ""
Create new
"".
Select the option ""
Search in Peppol Directory
"". We recommend selecting the checkbox first, as it will clear any existing search criteria from the search bar.
Add the Peppol ID in the search bar. Press the button ""
Search
"". You can use the participant identifier without the ISO 6523 code before.
If your customer is found in Peppol, you will find them in the results.
If no results are returned, you might confirm the result by checking on our second proposed method below. If you did provide an ISO 6523 code before the participant ID (usually in the form of 4 digits followed by a colon), try removing it from the search, leaving only the participant ID.
 Guide 2: With Peppol Directory Website

Step 1:
Open Peppol Directory website
This Open Source project can allow any visitor to search in the proposed directory. Currently the publication of Peppol participant information in an SMP happens on a voluntary basis. That implies that not all business entities are listed in the Peppol Directory which implies that if your desired partner does not show up in here it doesn't mean that the entity is not in the Peppol network!
Access the Peppol Directory here:
https://directory.peppol.eu/public/locale-en_US/menuitem-search
Add the Peppol ID in the search bar. Press the button ""
Search Peppol Directory
"". You can use the participant identifier without the ISO 6523 code before.
If your customer is found in Peppol, you will find them in the results.
If no results are again not returned, there is a high chance that your customer isn't yet registered on Peppol. They can contact their VAN Operator in order to make sure to be correctly added. If you know their Access Point, you might verify that their registry is online as per the third guide below.
 Guide 3: How to Monitor Peppol Access Point

Step 1:
Monitor Access Point
Depending on the search tool used, you might face errors when a server system is down. Search tools are actually searching in multiple Peppol access point directories, each of them having their own servers. It's possible that at the time, one of them is not available.
Open the monitoring page:
https://monitor.galaxygw.com/
If a particular server/access point is not available, it will appear in
red
here (you can hover to see the precise date).
If the server is currently down, it will be appearing in
red
(Down) on the right indicator.
You can
select the name of the provider
to get a more proper view of all recent events:",Tungsten e-Invoice Connect (TeC) - How to check Peppol Customer Registration?
"When a company is registered as a member on Tungsten e-Invoice Connect, a Member ID is assigned. This Member ID can allow our Technical Support team to locate your account efficiently. This member ID can also be used for API integration.
 This article specifically applies to Tungsten e-Invoice Connect (formerly known as Invoice Portal). The information provided here does not apply to other Tungsten Automation products. For support or documentation related to other products, please refer to the appropriate resources
here
.
 Guide:

Step 1:
Log into the portal
In order to view your member ID, you need to open our portal and log in.
Access our portal via this link:
https://web.fakturaportalen.se/login
Add your
Email
and
Password
.
Press the button ""
Log in
"".
Note: If you can't log in, you will not be able to see your member ID. However, in case of login issues, our Technical Support only needs your email address to assist you.

Step 2:
""Member account"" page
After opening our ""Member account"" page, you will be able to see your member ID directly at the bottom of the page.
From the top menu, select ""
Settings
"" and then ""
Member account
"".
Scroll down the page until the last section named ""
Member ID
"".
You will see your member ID for the company in a text box. You can directly copy it using the copy icon.",Tungsten e-Invoice Connect (TeC) - How to find my TeC Member ID?
"Multi-Factor Authentication (MFA) is a security feature that adds an extra layer of protection to your accounts by requiring multiple forms of verification, making it much harder for unauthorized users to gain access. While you can continue using the password alone to securely access your e-Invoice Connect account, two-factor authentication significantly improves the security of your account and all the personal information that you store there.
 This article specifically applies to Tungsten e-Invoice Connect (formerly known as Invoice Portal). The information provided here does not apply to other Tungsten Automation products. For support or documentation related to other products, please refer to the appropriate resources
here
.
Table of contents:
Guide 1: Set up your MFA
Guide 2: Reset or Change your MFA
Guide 3: Set MFA as mandatory for all users
 Guide 1: Set up your MFA

Step 1:
Start the configuration
The MFA setup can be started from the
Log in pag
e or from the
Settings page.
Via the Log in page:
If you log in for the first time, after you enter your login credentials and click
Log in
, you are prompted to set up the two-factor authentication. Otherwise, this message will appear every 14 days.
Yes
: Follow the steps in this topic to configure this option. You should select this option.
No
: Continue working without two-factor authentication for the next 14 days.
Cancel
: Redirects you to the login page. When you log in next time, you are prompted to set up two-factor authentication again.
Via the Settings page:
This option is currently not available. You must set up your MFA from the login page when invited.

Step 2:
QR Code scanning
You will be presented with a page containing a QR code and a field to add your six-digit code from the application.
Open your application (such as Microsoft Authenticator, Google Authenticator, LastPass, Authy, or Duo Mobile).
Depending on the application, you will have the possibility to add an account (usually with a + sign) or scan a QR code (with a QR or camera sign).
Scan the QR code
using the camera of your phone.

Step 3:
Provide the six-digit code
Once the scanned QR code is successful, a new authenticator profile should be created. When you open it, you should be presented with a temporary six-digit code. This code should be next to a timer which will be changing automatically.
Copy the code
from your application into the field required from the portal.
Select the button ""
Continue
"" to confirm your input.
---

Step 4:
Save the recovery code
After entering the six-digit code, the system will generate three personalized recovery codes. You have to save the codes to a secure location on your computer. You may need these codes if you, for any reason, will not be able to use your application. Please note that each line is a different code, making it a total of 3 different codes at your disposal.
Select the
copy icon
to copy your recovery codes.
Save them
somewhere safe on your computer.
Press the button
Done
.

Important
: If you lose access to your application, recovery codes are mandatory to gain back access to your user account. If not saved properly, you can lose access to your user account entirely.
 Guide 2: Reset or Change your MFA

Step 1:
Remove the previous MFA
If you lose access to your application, you will be looking to unlink your user account from it. The easiest option is to attempt a login, and then provide a recovery code.
Log in
using your email and password.
When asked for your MFA code, select the option ""
Cannot get a code to enter?
""
In the field, provide
one of your 3 recovery codes
(you should provide only one). Press ""
Verify
"".
If you still have access to your application, and you can login, you have the possibility to deactivate your current MFA from the portal.
Navigate from ""
Settings
"" - ""
User
""
From the section ""
Two-factor authentication application setup
"", press the button ""
Deactivate
"".
Provide the six-digit code from your current application. Press the button ""
Done
"".

Step 2:
Set a new application or remove MFA
After confirming your recovery code, you will be invited to choose if you want to set a new application. The next steps will be the same as previously shared.
Yes
: Follow the steps in this topic to configure this option.
No
: Continue working without two-factor authentication for the next 14 days.
Cancel
: Redirects you to the login page. When you log in next time, you are prompted to set up two-factor authentication again.
 Guide 3: Set MFA as mandatory for all users

Step 1:
Administrator settings
An administrator has the possibility to set the MFA as mandatory for all users part of a company account. This option can be enabled and removed only by administrators. If you are an administrator, you can follow these steps:
Navigate from the menu ""
Settings
"" - ""
Account users
"".
Checkmark the box ""
Mandatory two-factor authentication
"".
Press the button ""
Apply
"".
If you have multiple company accounts, repeat on each one of them by changing the member.
When activated, users will all be required to set their MFA on the next login.",Tungsten e-Invoice Connect (TeC) - How can I set manage my Multi-Factor Authentication (MFA)?
"To send or receive invoices electronically, you need to register your company in e-Invoice Connect.
 This article specifically applies to Tungsten e-Invoice Connect (formerly known as Invoice Portal). The information provided here does not apply to other Tungsten Automation products. For support or documentation related to other products, please refer to the appropriate resources
here
.
 Guide:

Step 1:
Open the registration page.
Open the link
https://web.fakturaportalen.se/login
Press the button ""
Become a member
"".

Step 2:
Add user details.
You will have to fill the following fields:
Email address
: specify an email address to be used as the username to log in and (optional) receive notifications.
Name
: specify the name of a contact person for this user account.
Password
: enter a password with a minimum of 12 characters and confirm by entering it once again.
 To create a strong password, see ""
Password recommendations
"" in Tungsten e-Invoice Connect.
Your first user account in e-Invoice Connect is set up. Later you can add more users with different access levels.

Step 3:
Add organization details.
You will have to fill the following fields:
Country
: select the country of your legal address.
You will not be able to change the country of your legal address but you can set up more recipient offices from different countries and locations later.
Additional IDs
: depending on the country selected, provide the required IDs, such as:
- For
Organization ID
, specify the primary identifier of a legal entity in the country selected.
For example, 656591-0194.
- For
VAT/Tax ID
, specify the identifier for payment of the Value Added Tax and/or other taxes and charges in the country selected.
For example, SE656591019401.
- For
DUNS
, specify the universal organization identification number from Dun & Bradstreet.
For example, 13-783-3910.
- For
GLN
, specify the Global Location Number from GS1.
For example, 4375822721300.
The party identifier is required for all countries. These IDs are required by some eDelivery networks, such as Peppol. A GLN is preferable.
For Denmark, Finland, France, Norway, and Sweden: The country-specific ID field is displayed automatically and is required.
If necessary, later you can set up more recipient offices with additional individual IDs, either official or free-form.
Legal Name
: specify your company Legal name as written in your statutory documents.
Legal Address
: Specify the legal address.
Later you can change your legal address or set up delivery and electronic recipient addresses for offices in various countries.
Your organization details to identify you in e-Invoice Connect are entered. Later you can change the details, supplement member account data and, if necessary, set up more recipient offices with individual receiving settings.

Step 4:
Select member role.
Our member roles are invoice sender, invoice recipient, or both. Under Use e-Invoice Connect, select one of the following options.
...to both send and receive invoices:
Adds you to the list of invoice senders and recipients.
...to send invoices only:
Adds you to the list of invoice senders (suppliers.)
...to receive invoices only:
Adds you to the list of invoice recipients (customers/buyers.)
You have selected whether you send or receive invoices via e-Invoice Connect, or do both. Later you will need to specify sending or receiving settings as necessary. You can change the role at any time.

Step 5:
Select membership level
Tungsten e-Invoice Connect offers four different membership levels. Read the offer and select which subscription fits your invoicing needs best.
Free
Basic
Plus
Premium
 You will be able to change your membership in the future. Upgrading a membership is done instantly. Our Technical Support can be contacted by Plus and Premium membership level.

Step 6:
Finishing the registration
Enter the
registration code
, if any.
Read the Terms and conditions of e-Invoice Connect and select ""
We agree to the terms
"".
Verify the information you provided and click the button ""
Done
"".

Step 7:
Confirming the registration
A confirmation email will be sent to you to the specified email address.
Open the confirmation email. Click the
confirmation link.
 The registration is complete and confirmed. Now you can log in and configure your sending or receiving settings.
If you cannot find the confirmation email, check Spam. The email is sent from the mailbox no-reply@invoiceportal.net.",Tungsten e-Invoice Connect (TeC) - How to create a company account?
Update SAP .net connector from 3.0.22 to 3.0.26,Transfer from IPA/APA to PDAP not working
"Please contact
Tungsten Automation Technical Support
to get assistance.
For ways of contacting us please refer to this page
Getting Help with Invoice Portal (link)
.
If you or a colleague are unable to create a ticket with
Tungsten Automation Technical Support
please create a post (ask a question) in our Community.
We will create a support case for you and contact your Invoice Portal
administrator
directly via email, please make sure this person is aware of us reaching out to them. They will have to verify your request to access the system upon which we will proceed to reset your account.
Level of Complexity
Medium",2FA - Two-factor Authentication recovery codes lost
"Please check the spam folder or contact local IT to have them look for the email from
info@invoiceportal.net
.
In case there is a suspicion that the email address used is misspelled or otherwise incorrect, please contact
Tungsten Automation Technical Support
via the
Tungsten Automation
Community.
Level of Complexity
Easy",Activation email missing
"Ask the customer to make sure that they have accepted your company as a sender of e-documents.
Ask the customer to send the e-invoice information to you to verify that the correct identifiers are used. Please share this information with
Tungsten Automation Technical Support
so that we can verify that the customer is correctly added to the Invoice Portal Registry.
Level of Complexity
Easy,",Customer have not accepted you as a sender / Wrong partyID used
"If none of the pre-defined ports can be used, the Invoice Portal member must contact
Tungsten Automation Technical Support
and a change request process is initiated. The time to resolve this may be quite long since it relies on the software release and deployment cycle.
We recommend using the pre-defined ports.
Level of Complexity
Moderate",Ports used for FTP/SFTP transport
Ask buyer to contact their Access Point to renew their certificate,Error 893 Certificate is expired
"If you are only sending a few invoices to this recipient, please join the Tungsten Network and create your invoices directly there. If you are planning to send a larger amount of invoices to this recipient, please contact your Kofax Sales Executive or open a support ticket with Kofax Technical Support.",My customer sent an invitation to join Tungsten Network
"No, the spring4shell vulnerability
CVE-2022-22965
is not applicable to Invoice Portal.
Kofax products and Spring4Shell vulnerability information CVE-2022-22965",Does the spring4shell vulnerability CVE-2022-22965 affect Invoice Portal
Ask the supplier to verify the e-invoice information to you to verify that the correct identifiers are used.,Approve Supplier
Ask buyer to contact their Access Point to renew their certificate.,Error 893 Certificate expired
Contact the supplier to agree on what data should be included in the electronic invoice.,Line item data is missing on the invoice
"When a new user account is created an email is sent to the local Invoice Portal administrator. That email prompts the administrator to approve (or reject) the new user account.
Contact the local Invoice Portal administrator and have them approve the new user account.
REFERENCES",New user is disabled
Wait and try sending the invoice again with some delay.,Error 504 Gateway Time-out
"Make sure that either the internal Invoice Portal customer number is in the
cac:ID identificationSchemeAgencyID field.
<cac:BuyerParty>
<cac:Party>
<cac:PartyIdentification>
<cac:ID identificationSchemeAgencyID="" "">nnnnnn</cac:ID>
</cac:PartyIdentification>
Or that the field
cac:CompanyID contains a valid VAT registration number
<cac:PartyTaxScheme>
<cac:CompanyID>nnnnnnnnnn</cac:CompanyID>
<cac:RegistrationAddress>
<cac:Country>
<cac:IdentificationCode>SE</cac:IdentificationCode>
</cac:Country>
</cac:RegistrationAddress>
<cac:TaxScheme>
<cac:ID>SWT</cac:ID>
</cac:TaxScheme>
</cac:PartyTaxScheme>
It is enough with one of these two and if the second field (CompanyID) is wrong the invoice will fail since this field has a higher priority in the identification process.",Electronic recipient could not be identified
"Make sure your AP Essentials solution is configured to inform the users of when an invoice failed.
AP Essentials
knowledge article on how to do this:
Email notifications for documents failed to import
Level of Complexity
Moderate",Missing invoice in AP Essentials
"How UTS attachments are managed in Invoice Portal:
Invoice arrives first - the file references an attachment, IP will wait 72 hours
UTS attachment arrives --> Embed to invoice file and send
No UTS attachment arrives --> Invoice is sent to an error process and message is returned to the sender
UTS attachment arrives late --> Most of the time the invoice is then resent (because of the error sent out earlier) and the attachment is matched and embedded in the resent invoice
If the UTS attachment arrives on its own --> Wait 72 hours to match with an expected invoice,
If an invoice does not arrive and the sender is clear in the UTS file we will send an error message.
Note: In some countries the timing of sending attachments is regulated by law (for instance Portugal = 2 days).",Timing of UTS attachments
"As an administrator user: Go to the Settings menu in Invoice Portal, select Account users and find the user and press the revoke button.
Remove any tick boxes from the notification area.",Remove a user from Invoice Portal
"Invoice Portal is not designed to create reports for multiple business units at once. So it can not be done.
There is work under way developing this functionality, keep an eye out for future release information.",List all suppliers for several companies
"This is an invoice file with an embedded attachment. In this case the attachment is a TIF image. Most often the attachment is the original invoice.
Sometimes invoices arrive by postal services to a scanning service facility and are forwarded to the recipient in this format. The xml file then contains information about the source of the scanned file, for instance:
<cbc:DocumentTypeCode listAgencyName=""ImagingService Scanning"">Scanned</cbc:DocumentTypeCode>
The explanation for why the sender is the same as the recipient is (in this example) because the scanning service is configured to work this way, an arrangement between the recipient and the scanning service bureau.
Accessing the embedded file
Look up the invoice in the Invoice > Received, scroll down the invoice page towards the bottom and find ""Invoice attachments"" there. Selecting the ""preview"" button will download a copy of the attachment to your computer.
To download the entire invoice package select ""Show log information"" (below the attachment) and select ""Original documents"" to download the zip file containing the xml, PDF and the attachment.",Embedded invoice attachments
"Translation tables applied to outgoing invoices will not solve this issue, since the value need to be adjusted to individual recipients requirements.
The solution in this case is to move the translation off the outgoing/sender stage and in to Invoice Portal recipient layer. The invoice will be validated and a translation (of the unitCode field) will be executed if it is required, but only then. This means the output will match the recipient's format independent of if the sender has used PF/OIOUBL or X8A/PEPPOL.
This validation and translation is currently in place for the unitCode fields and specifically for invoices going into and being sent from Denmark or Danish entities. If other fields should have a similar conflicting format, please contact Kofax.",Conflicting unit codes
"Fill in the
Tax representative
information under the Payment details (expand this area by pressing the plus sign under the Payment terms text field).
Not all buyers require this information and buyers also sometimes change their requirements regarding this information which is why it may be experienced as a ""new"" issue for a specific buyer.",Seller tax representative name is missing
"The error indicates the member account is not complete. Make sure to add an identification number to your member account details.
Go to Settings > Member account > Party identifiers
Add a VAT number and remember to press ""
Save
"" before going back to the invoice.
Please note: You may need to create a new invoice after adding a new identifier to your account, the draft invoice may retain the old form (e.g. where the identifier was missing).
Go to Settings > Addresses > Select an Identifier type and enter the relevant number there.
Please remember to press ""Save"" at the bottom of the screen before going back to the invoice.
Level of Complexity
Moderate",Supplier VAT identification is missing
"CSV is supported. But please keep in mind that custom mapping to our internal format will be required in order for it to work and this is something that Kofax will charge for.
There is no generic schema for CSV invoices, Kofax will create a custom mapping to our internal XML format (ESXML) based on the customer's file format.",Receiving CSV Invoices
Contact the vendor sending the erroneous strings in the GTIN field and direct them to use other free/text tags for this information instead.,GTIN field causes an error on the invoice
"Try again a little later, access issues tend to be resolved automatically.
A potential workaround is to accept the rejected invoice without editing it, e.g. accepting it without opening it.
This means the errors causing the invoice to be rejected will reach the financial system and will have to be managed there.
Another alternative workaround is to contact the vendor sending the invoice and ask them to please correct the invoice and re-send it.
The issue is rare and the reasons for not being able to save the changes to the rejected invoice have not yet been isolated.",Unexpected error after editing a rejected invoice
"Invoice Portal sends files from a static IP address, 104.41.224.26.
Level of Complexity
Easy",Sending from static or dynamic IP address
"Please find the Invoice Portal help file
here https://docshield.kofax.com/InvoicePortal/en_US/help/RSI_InvoicePortal_help/c_welcometoinvoiceportal.html",Invoice Portal Help File
"Invoice Portal online help file
Invoice Portal on the Kofax website
Invoice Portal datasheet",Reference
"Goal
Use the section below to describe the goal of the how-to. You might want to offer prerequisites that must be met before the user begins the task, such as previous how-to's, configuration or product setting requirements.
After completing this how-to you will know how to create an invoice using Invoice Portal.
Use each step section to describe the instructions needed to achieve the goal.
First Step
Begin by selecting Invoice > Create New. You will get to this page:
The first step in creating an invoice is to seek out the recipient in the
Search
field. You can do this by using the search function. We recommend that you search on the recipient's organization number. Searching on the Company name also works.
Here's How it looks when you get a hit on your search:
If This is a recipient that you will invoice often, you can click in the Star icon on the far left. The receiver will then be saved. This will prevent you from having to perform a search on the next billing.
Recipients that you do not get a hit on but who can receive e-invoices
If you do not get a hit on the recipient and you know that they can receive an e-invoice, please contact Kofax or your Kofax partner. Your recipient need to be added to a register with Kofax Invoice Portal. We need to know your recipient's name, corporate identity number and which VAN operator they receive invoices from.
Many recipients choose to use a third-party operator to manage conversion between different formats, communication, security and traffic monitoring. VAN stands for Value Added Network and is an operator of business to business (B2B) traffic. The Operators have interconnection agreements between each other, making mass connection smooth.
Recipients who are unable to receive e-invoices
If you have a customer who is not able to receive e-invoices but who can receive by e-mail (PDF invoice), you can still invoice the customer via the Invoice portal. In order for these receivers to be searchable, the first step is to create a customer card for the recipient.
Here's How to do it: [SEPARATE ARTICLE - add link]
Second Step
To be able to create an invoice for your recipient, select/click the recipient listed when you complete your search, then you will be taken to this page:
Fill in the fields that you need to enter information in. Select the little question marks next to some fields to get an explanation.
Invoice Information and Vendor contact information
Invoice number Fill in your invoice number, both numbers and letters can be used
Invoice Type Select a debit or credit note
Issue Date Automatically filled in when the invoice is created
Currency Currency for the invoice amounts
Language Which language should the invoice fields have
Supplier contact Your contact person for this invoice
Email Address Contact person's email address
Mobile Phone Contact person's mobile number
Buyer's contact information and invoice header information
Buyer contact Your customer's contact person for this invoice
Email Address Customer's contact email address
Mobile Phone Customer's contact person's mobile number
Free Text Space for entering information as free text, a message for the customer on the invoice
Buyer order number Customer's order number for this invoice
Buyers Reference 1 Customer reference regarding this invoice. Some customers require, for example, that you specify a cost center, then it must be stated in this box. If a reference is required, the recipient should inform you of this.
Payment specification
Days left until due date Payment must be made within the number of due dates
Due Date The Payment must be made at the latest on the due date. The Date is filled in automatically depending on how many due dates you specify.
Payment Reference (OCR) A numerical code that facilitates automatic accounting of payments
Payment terms - Your conditions of use for this customer
Delay terms Your terms In case of late payment
Delivery Information
Here you fill in the delivery information. If you click
""More Details""
You can also fill in the shipping address and carrier.
Invoice lines
Above you will find an example of how an Invoice line might look like.
Line The Line number of the invoice line is automatically assigned as a sequential number
Description The Item that you are invoicing
Supplier Art.no Item number of the product/service
Quantity Quantity
Unit For example, if it is an object you invoice, you choose ""Pcs"". Should you invoice for a service, you can use the number of hours
Price Price in your chosen currency
Unit Price Base The Quantity the price is based on
Discount% If there would be a discount on the item, it is listed here. However, This only works as a ledger for the rebate. Therefore, you need to deduct the amount on the invoice line itself. If it is a 50% discount and the painting really cost 1000 kr you have to indicate that the price is 500 kr.
Line Amount The Invoice portal calculates this using the Quantity * Price
Vat Which VAT that is applicable on the line. If the VAT is 0% then you have to check ""Tax exemption""
Tax exemption text If you have checked the "" Tax exemption"" then you must also indicate the reason for this. A short sentence is Enough.
f you are going to bill for several different articles You can add more lines by clicking
""New line"".
Invoice Attachments
This is where it is possible to attach files/documents. Such as for instance a packing slip.
Summary
At the bottom of the page, the invoice is automatically summed up. Here you can also calculate amount rounding by using the
Calculate
button.
Almost done!
Below the invoice summary area you will find these important buttons.
Save If You don't want to send the invoice at once, you can save it. It is stored in Drafts. You can find your draft under
Invoice > Draft
. You can at a later time access the invoice again and send it.
Check Press this button to make Invoice Portal verify that you have filled in the required fields on the invoice.
PDF - By selecting the PDF button, the invoice is saved as a PDF file. This also allows you to preview the invoice before sending it.
Send Select this button to send the invoice to the recipient
Cancel If you do not want to save or send the invoice, click
""Cancel"".
Then delete the invoice.
Done!
After you click
Send
Is the invoice sent! If you have any questions or problems, you can always contact support! Contact details can be found on the cover page.
What's Next
Use the section below to describe additional considerations that were omitted for brevity and to guide the reader to further how-to's.
This how-to guide outlines how to create an invoice in the Invoice Portal.
Read more about Recipients:
Invoice Portal online help file
https://docshield.kofax.com/InvoicePortal/en_US/help/RSI_InvoicePortal_help/c_welcometoinvoiceportal.html
--> Look up ""Customers""
Recipients that you do not get a hit on but who can receive e-invoices. [ADD LINK]
Recipients who are unable to receive e-invoices. [ADD LINK]",How to create an invoice
"The user need to verify their email address in order to gain access to the system. The verification email is sent out shortly after account creation and only valid for a few days. Remove and add the user again to receive a nev verification email. This is something the local Invoice Portal administrator user normally does (adding new users).
Please see references below for other type of login-issues.
Level of Complexity
Easy",Can not log in to Invoice Portal
"The sending party (supplier) receives an error message when invoices are stopped due to errors.
When invoices are sent via Peppol all receiving VAN-operators (like Invoice Portal) are obliged to receive the invoice and deliver it to the recipient, in this case the error message is sent to the recipient.
Invoices can not be deleted from Invoice Portal when they have already been exchanged (e.g. sent or received), it is equivalent to a paper invoice and need to remain in the Invoice Portal archive for audit purposes.
Note: Invoices which has
not been sent
to a recipient can be deleted. So deletion is possible before sending the invoice.
Level of Complexity
Easy",Can you remove sent Invoices from InvoicePortal?
"1. Lost password
Use the ""Forgot your password?"" link on the login page. Then enter your email address and a password recovery process is started.
Remember to check the Spam folder for the reminder email!
2. Lost account
If you have lost access to the actual account you use to access Invoice Portal you need to contact your Invoice Portal administrator to have them recreate your user in the system.
3. Lost Invoice Portal system administrator account
Speak with your local IT if the Invoice Portal local admin left the company, you will need to access their old email inbox to recover the password. Then create a new Invoice Portal administrator once you have logged in.
Alternatively go to the
Kofax Community
and reach out to Kofax for assistance.
Level of Complexity
Moderate",Lost password
"Two scenarios described below ""two-factor application missing"" and ""two-factor application temporarily unavailable"".
2FA application not working or missing
If the actual authenticator application has disappeared or the mobile phone is lost/broken.
Start by reinstalling the authentication application, any of the listed in this section of the Invoice Portal help
https://docshield.kofax.com/InvoiceP...ntication.html
Follow these steps to add the Invoice Portal account to the authenticator app.
Log in to Invoice Portal using your username and password.
Since the application providing the temporary two-factor codes is unavailable, select ""Cannot get a code to enter"".
When prompted, use one of the
recovery codes
created the first time the 2FA was installed to restore the account.
Enter a
recovery code
and press ""Verify"". Then follow the instructions on the page, e.g. scan the QR code with the authenticator app on your mobile device to create a new account, then enter the code generated by the newly created authenticator account.
Store the new recovery codes safely on your computer.
Make really sure to store the new
recovery codes
in a safe place, press ""Done"" and the two-factor authentication is now restored.
Please note that the original
recovery codes
expire when one of them is used for restoring the account and they are replaced by three new
recovery codes
. Kofax recommend storing the codes in
more than one
safe place.
2FA temporarily unavailable
If the authenticator application or mobile phone is temporarily unavailable.
Retrieve one of the
recovery codes
you stored when the two-factor application was set up. Please note that each code can only be used once.
Level of Complexity
High",2FA - Two-factor Authentication stopped working
"Open Invoices Manager.
From the top menu, select Plugins> then AutoValue Configuration
Then select the Invoice profile you wish to change>Then select InvoiceDate>Then click on the radio button next to Current date. This will change the InvoiceDate field on ALL Invoices in this profile.
Level of Complexity
Easy",Invoice Date in verify; could it be changed to today's date?
"Check XML file on the ""queued"" invoice to see if you can find the party identifiers.
If partyidentifiers can be found, check Registry if those are added.
In some cases the recipient is added after the invoice is sent. In those cases you can resend the invoice.
Level of Complexity
Easy / Moderate",Invoice stuck in queue
"To send tax exempt invoices without the use of VAT/Tax ID numbers, make changes in the invoice's Payment details and in the Invoice lines.
Payment details
Under the invoices
Payment details
select/expand
+More details
, select ""None"" for both Supplier's and Buyer's VAT/Tax ID, then select the box
Tax exempt
and write ""No tax"" (or similar) in the
Tax exemption text
field.
Note: If the recipient is receiving their invoices via Peppol there will be an additional field for selecting ""Tax exemption reason code"" where it is possible to select from a list of pre-defined reasons, select the one applicable to your invoice.
Invoice lines
The
Invoice lines
must also clearly be set to ""no taxation"" so make sure to select an applicable
Tax category
, for instance ""Service outside scope of tax""
Level of Complexity
Moderate",Not able to create an invoice without a VAT/Tax ID
"Please read more about two-factor authentication in the Invoice Portal online documentation:
https://docshield.kofax.com/InvoiceP...ntication.html
Level of Complexity
Easy",Problems configuring the 2FA - Two-factor Authentication
